town,latitude,longitude
ג'ת,32.397285,35.034889
כפר ברא,32.130911,34.970108
כפר קאסם,32.1173916,34.968918
מוקייבלה,32.514142,35.294806
ערערה,32.496323,35.097292
קלנסווה,32.2854576,34.9810942
אבטין,32.759963,35.114601
כפר קרע,32.505255,35.048811
שייח' דנון,32.9938295,35.14856839999999
עומר,31.264479,34.8505942
גבעת שמואל,32.077299,34.849206
"כפר חב""ד",31.990144,34.849103
תפרח,31.324471,34.679236
שתולים,31.773687,34.684409
שלומי,33.072609,35.145945
ירוחם,30.9871778,34.9310463
מגדל העמק,32.6778114,35.2417497
שבלי - אום אל-גנם,32.684167,35.396944
רכסים,32.749265,35.099581
בסמת טבעון,32.736287,35.1532
טובא-זנגרייה,32.96621,35.592018
זרזיר,32.7268837,35.2157215
כעביה-טבאש-חג'אג'רה,32.750389,35.184
ביר אל-מכסור,32.7781997,35.2216895
מבשרת ציון,31.80495489999999,35.151392
אור עקיבא,32.5103476,34.919546
שדרות,31.52269399999999,34.595581
קריית מלאכי,31.7302546,34.7466157
בית חשמונאי,31.890298,34.917599
תל שבע,31.2450731,34.8603822
כסיפה,31.249246,35.083681
לקיה,31.324884,34.866219
מעלות-תרשיחא,33.0148018,35.2768101
"בני עי""ש",31.789097,34.7599195
מעגלים,31.398859,34.598239
מרכז שפירא,31.696927,34.707319
צור הדסה,31.719374,35.096958
קריית יערים,31.802774,35.099945
כרמיאל,32.9085935,35.2932814
רהט,31.3951375,34.7533591
קיסריה,32.5154686,34.9062798
הושעיה,32.757927,35.29522499999999
ערערה-בנגב,31.1654944,35.0333713
מודיעין-מכבים-רעות,31.888235,35.02302299999999
כוכב יאיר,32.2207488,34.9939021
קציר                ,32.485178,35.10873
חריש,32.4606442,35.0478887
כפר ורדים,32.9969981,35.2628012
מיתר,31.3280076,34.9435778
להבים,31.373835,34.816952
גן נר,32.528706,35.336254
נופית,32.763374,35.148316
שגב-שלום,31.19711719999999,34.8383843
זמר,32.3675163,35.0329957
ג'דיידה-מכר,32.928656,35.150573
יאנוח-ג'ת,32.981568,35.241169
כסרא-סמיע,32.9646608,35.3038834
חורה,31.2997256,34.935863
שוהם,31.9940912,34.9463162
אלעד,32.04953,34.95075
מתן,32.159377,34.97319
בת חפר,32.333714,35.013729
"בסמ""ה",32.52940100000001,35.103199
מעלה עירון,32.5508302,35.1865314
אחוזת ברק,32.643101,35.338893
נוף איילון,31.871215,34.991321
שמשית,32.732527,35.246518
צור יצחק,32.241478,34.997998
קצר א-סר,31.083329,34.979579
ביר הדאג',31.02316,34.709138
אום בטין,31.27674369999999,34.8829215
אל סייד,31.281719,34.916298
חצור הגלילית,32.980382,35.543548
ברקת,32.018344,34.943179
טירת כרמל,32.762127,34.97298
דימונה,31.069419,35.033363
קריית טבעון,32.715288,35.124644
אור יהודה,32.029748,34.85617300000001
נשר,32.7721793,35.045039
באר יעקב,31.943507,34.83904
גדרה,31.8120082,34.7774347
ערד,31.26125469999999,35.2152179
אילת,29.557669,34.951925
בית שמש,31.747041,34.988099
קריית אונו,32.054863,34.85885800000001
קריית גת,31.6104718,34.7722948
ראש העין,32.095838,34.952177
רמת השרון,32.137793,34.840278
יבנה,31.87535339999999,34.7350096
אום אל-פחם,32.517127,35.148529
טייבה,32.2668407,35.0096545
קריית שמונה,33.20809,35.5699622
ירושלים,31.768319,35.21371
קדומים,32.21239,35.157388
אלקנה,32.110566,35.032054
תקוע,31.652785,35.227517
כוכב השחר,31.960264,35.349421
אריאל,32.1046376,35.1745145
בית אל,31.94159999999999,35.222734
מצפה יריחו,31.815688,35.395409
אלון שבות,31.654871,35.125256
קריית ארבע,31.529326,35.115625
מעלה אדומים,31.777369,35.297955
עפרה,31.955101,35.260324
אלעזר,31.659676,35.143074
כפר אדומים,31.827216,35.337189
קרני שומרון,32.171553,35.097462
שילה,32.054405,35.29909
יקיר,32.1483242,35.1149205
אפרת,31.6570062,35.152073
בית אריה,32.040059,35.049472
מבוא חורון,31.849598,35.034977
נווה דניאל,31.67632,35.143293
נוקדים,31.645331,35.244064
עלי זהב,32.072227,35.064135
גבעת זאב,31.861189,35.167252
אלפי מנשה,32.170631,35.014858
אורנית,32.131924,34.99081
גבע בנימין,31.849999,35.273853
עלי,32.071177,35.266859
הר אדר,31.824501,35.12966
חשמונאים,31.93263099999999,35.023269
כוכב יעקב,31.880152,35.242773
ביתר עילית,31.7029085,35.1146747
טלמון,31.93947499999999,35.133131
צופים,32.197318,35.008912
רבבה,32.11871,35.129583
כפר האורנים,31.919928,35.036911
מודיעין עילית,31.932477,35.042265
גני מודיעין,31.9297927,35.0176666
חיפה,32.7940463,34.989571
בוקעאתא,33.2026572,35.7767723
חספין,32.8456305,35.7929907
קצרין,32.990998,35.689865
מג'דל שמס,33.2690961,35.772122
מסעדה,33.2321159,35.7555991
ע'ג'ר,33.272607,35.623637
עין קנייא,33.2366802,35.7313062
תל אביב-יפו,32.04960790000001,34.7588317
באקה אל-גרביה,32.419305,35.035289
בני ברק,32.084932,34.835226
בת ים,32.0151439,34.752885
גבעתיים,32.075318,34.8086113
הרצלייה,32.162413,34.844675
חדרה,32.4340458,34.9196518
חולון,32.015833,34.787384
טבריה,32.795859,35.530973
קריית אתא,32.809144,35.119773
כפר סבא,32.178195,34.90761
לוד,31.951014,34.888075
אשקלון,31.6687885,34.5742523
נס ציונה,31.932111,34.801327
נצרת,32.699635,35.303546
נתניה,32.321458,34.853196
סח'נין,32.8621403,35.2996234
עכו,32.933052,35.082678
עפולה,32.610493,35.287922
פרדס חנה-כרכור,32.4728028,34.9742001
פתח תקווה,32.084041,34.887762
צפת,32.964648,35.495997
קריית מוצקין,32.8390366,35.0821062
ראשון לציון,31.95908129999999,34.8020886
רחובות,31.8943652,34.8115292
רמלה,31.931566,34.872938
רמת גן,32.068424,34.824785
רעננה,32.1923797,34.8745337
שפרעם,32.8035805,35.1732997
טמרה,32.8552512,35.1859141
באר שבע,31.2521018,34.7867691
נהרייה,33.0085361,35.0980514
בית שאן,32.497103,35.497336
זכרון יעקב,32.5739532,34.9520929
יהוד,32.0315718,34.8925712
קריית ביאליק,32.8408396,35.0916456
קריית ים,32.851004,35.070244
הוד השרון,32.149961,34.8838788
בנימינה-גבעת עדה,32.517078,34.955096
